#NAME	SENSE	SAMPLE	HAPLOTYPE	LOCUS	PHASE_BLOCK	SUBRANGE
HG01952#1#JAHAME010000122.1#0[1272844-1668854]	HAPLOTYPE	HG01952	1	JAHAME010000122.1	0	1272844-1668854
HG03540#2#JAGYVX010000080.1#0[10161985-10967280]	HAPLOTYPE	HG03540	2	JAGYVX010000080.1	0	10161985-10967280
HG03492#2#JAHEPH010000097.1#0[13422566-19923068]	HAPLOTYPE	HG03492	2	JAHEPH010000097.1	0	13422566-19923068
HG01175#1#JAHAMA010000330.1#0[203-38179]	HAPLOTYPE	HG01175	1	JAHAMA010000330.1	0	203-38179
NA21309#2#JAHEPB010000184.1#0[3885-4189158]	HAPLOTYPE	NA21309	2	JAHEPB010000184.1	0	3885-4189158
HG03492#1#JAHEPI010000230.1#0[410198-465302]	HAPLOTYPE	HG03492	1	JAHEPI010000230.1	0	410198-465302
HG00735#2#JAHBCG010000053.1#0	HAPLOTYPE	HG00735	2	JAHBCG010000053.1	0	NO_SUBRANGE
HG01109#1#JAHEPA010000102.1#0[18508516-19283514]	HAPLOTYPE	HG01109	1	JAHEPA010000102.1	0	18508516-19283514
HG00741#1#JAHALY010000021.1#0	HAPLOTYPE	HG00741	1	JAHALY010000021.1	0	NO_SUBRANGE
HG02630#1#JAHAOQ010000132.1#0[2097393-2130923]	HAPLOTYPE	HG02630	1	JAHAOQ010000132.1	0	2097393-2130923
HG02818#2#JAHEOR010000450.1#0	HAPLOTYPE	HG02818	2	JAHEOR010000450.1	0	NO_SUBRANGE
HG01358#2#JAGYZA010000012.1#0[32621-19038630]	HAPLOTYPE	HG01358	2	JAGYZA010000012.1	0	32621-19038630
NA20129#1#JAHEPE010000090.1#0[26356349-26890261]	HAPLOTYPE	NA20129	1	JAHEPE010000090.1	0	26356349-26890261
HG02886#2#JAHAOT010000117.1#0[144-3823984]	HAPLOTYPE	HG02886	2	JAHAOT010000117.1	0	144-3823984
HG01891#1#JAGYVO010000120.1#0[1067-209858]	HAPLOTYPE	HG01891	1	JAGYVO010000120.1	0	1067-209858
HG02055#2#JAHEPJ010000076.1#0[1-12091802]	HAPLOTYPE	HG02055	2	JAHEPJ010000076.1	0	1-12091802
HG02486#2#JAGYVL010000117.1#0[493-6718435]	HAPLOTYPE	HG02486	2	JAGYVL010000117.1	0	493-6718435
HG02080#1#JAHEOW010000387.1#0	HAPLOTYPE	HG02080	1	JAHEOW010000387.1	0	NO_SUBRANGE
HG01358#1#JAGYZB010000091.1#0	HAPLOTYPE	HG01358	1	JAGYZB010000091.1	0	NO_SUBRANGE
HG01361#1#JAGYYX010000021.1#0[330-359524]	HAPLOTYPE	HG01361	1	JAGYYX010000021.1	0	330-359524
HG00741#1#JAHALY010000120.1#0	HAPLOTYPE	HG00741	1	JAHALY010000120.1	0	NO_SUBRANGE
