#NAME	SENSE	SAMPLE	HAPLOTYPE	LOCUS	PHASE_BLOCK	SUBRANGE
chr1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr1	NO_PHASE_BLOCK	NO_SUBRANGE
chr2	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr2	NO_PHASE_BLOCK	NO_SUBRANGE
chr3	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr3	NO_PHASE_BLOCK	NO_SUBRANGE
chr4	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr4	NO_PHASE_BLOCK	NO_SUBRANGE
chr5	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr5	NO_PHASE_BLOCK	NO_SUBRANGE
chr6	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr6	NO_PHASE_BLOCK	NO_SUBRANGE
chr7	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr7	NO_PHASE_BLOCK	NO_SUBRANGE
chrX	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chrX	NO_PHASE_BLOCK	NO_SUBRANGE
chr8	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr8	NO_PHASE_BLOCK	NO_SUBRANGE
chr9	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr9	NO_PHASE_BLOCK	NO_SUBRANGE
chr11	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr11	NO_PHASE_BLOCK	NO_SUBRANGE
chr10	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr10	NO_PHASE_BLOCK	NO_SUBRANGE
chr12	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr12	NO_PHASE_BLOCK	NO_SUBRANGE
chr13	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr13	NO_PHASE_BLOCK	NO_SUBRANGE
chr14	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr14	NO_PHASE_BLOCK	NO_SUBRANGE
chr15	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr15	NO_PHASE_BLOCK	NO_SUBRANGE
chr16	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr16	NO_PHASE_BLOCK	NO_SUBRANGE
chr17	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr17	NO_PHASE_BLOCK	NO_SUBRANGE
chr18	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr18	NO_PHASE_BLOCK	NO_SUBRANGE
chr20	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr20	NO_PHASE_BLOCK	NO_SUBRANGE
chr19	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr19	NO_PHASE_BLOCK	NO_SUBRANGE
chrY	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chrY	NO_PHASE_BLOCK	NO_SUBRANGE
chr22	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr22	NO_PHASE_BLOCK	NO_SUBRANGE
chr21	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	chr21	NO_PHASE_BLOCK	NO_SUBRANGE
KI270728.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270728.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270727.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270727.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270423.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270423.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270588.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270588.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270708.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270708.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270722.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270722.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270429.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270429.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270757.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270757.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270386.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270386.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270315.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270315.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270366.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270366.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270593.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270593.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270394.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270394.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270528.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270528.1	NO_PHASE_BLOCK	NO_SUBRANGE
KI270516.1	GENERIC	NO_SAMPLE_NAME	NO_HAPLOTYPE	KI270516.1	NO_PHASE_BLOCK	NO_SUBRANGE
